Categoria,Nome,Valor
Contas,Luz - Janeiro,230.00
Contas,Água - Janeiro,110.00
Contas,Internet - Janeiro,95.00
Contas,Celular - Janeiro,75.00
Contas,Luz - Fevereiro,240.00
Contas,Água - Fevereiro,115.00
Contas,Internet - Fevereiro,100.00
Contas,Celular - Fevereiro,80.00
Contas,Luz - Março,250.00
Contas,Água - Março,120.00
Contas,Internet - Março,105.00
Contas,Celular - Março,85.00
Contas,Luz - Abril,245.00
Contas,Água - Abril,118.00
Contas,Internet - Abril,102.00
Contas,Celular - Abril,82.00
Contas,Luz - Maio,255.00
Contas,Água - Maio,122.00
Contas,Internet - Maio,106.00
Contas,Celular - Maio,86.00
Contas,Luz - Junho,260.00
Contas,Água - Junho,125.00
Contas,Internet - Junho,108.00
Contas,Celular - Junho,88.00
Contas,Luz - Julho,265.00
Contas,Água - Julho,128.00
Contas,Internet - Julho,110.00
Contas,Celular - Julho,90.00
Contas,Luz - Agosto,270.00
Contas,Água - Agosto,130.00
Contas,Internet - Agosto,112.00
Contas,Celular - Agosto,92.00
Contas,Luz - Setembro,275.00
Contas,Água - Setembro,132.00
Contas,Internet - Setembro,114.00
Contas,Celular - Setembro,94.00
Contas,Luz - Outubro,280.00
Contas,Água - Outubro,135.00
Contas,Internet - Outubro,116.00
Contas,Celular - Outubro,96.00
Contas,Luz - Novembro,285.00
Contas,Água - Novembro,138.00
Contas,Internet - Novembro,118.00
Contas,Celular - Novembro,98.00
Contas,Luz - Dezembro,290.00
Contas,Água - Dezembro,140.00
Contas,Internet - Dezembro,120.00
Contas,Celular - Dezembro,100.00
Combustível,Gasolina - Janeiro,500.00
Combustível,Gasolina - Fevereiro,520.00
Combustível,Gasolina - Março,540.00
Combustível,Gasolina - Abril,560.00
Combustível,Gasolina - Maio,580.00
Combustível,Gasolina - Junho,600.00
Combustível,Gasolina - Julho,620.00
Combustível,Gasolina - Agosto,640.00
Combustível,Gasolina - Setembro,660.00
Combustível,Gasolina - Outubro,680.00
Combustível,Gasolina - Novembro,700.00
Combustível,Gasolina - Dezembro,720.00
Mercado,Supermercado - Janeiro,1400.00
Mercado,Supermercado - Fevereiro,1450.00
Mercado,Supermercado - Março,1500.00
Mercado,Supermercado - Abril,1520.00
Mercado,Supermercado - Maio,1550.00
Mercado,Supermercado - Junho,1580.00
Mercado,Supermercado - Julho,1600.00
Mercado,Supermercado - Agosto,1620.00
Mercado,Supermercado - Setembro,1650.00
Mercado,Supermercado - Outubro,1680.00
Mercado,Supermercado - Novembro,1700.00
Mercado,Supermercado - Dezembro,1750.00
Passeios,Viagem - Janeiro,1800.00
Passeios,Shopping - Janeiro,250.00
Passeios,Praia - Janeiro,120.00
Passeios,Shopping - Fevereiro,280.00
Passeios,Viagem - Março,2200.00
Passeios,Praia - Março,180.00
Passeios,Shopping - Abril,290.00
Passeios,Praia - Maio,190.00
Passeios,Shopping - Junho,320.00
Passeios,Viagem - Julho,2500.00
Passeios,Praia - Julho,210.00
Passeios,Shopping - Agosto,340.00
Passeios,Praia - Agosto,220.00
Passeios,Shopping - Setembro,350.00
Passeios,Shopping - Outubro,350.00
Passeios,Viagem - Novembro,2500.00
Passeios,Praia - Novembro,150.00
Passeios,Viagem - Dezembro,2000.00
Passeios,Shopping - Dezembro,550.00
Passeios,Praia - Dezembro,300.00
